,Date,Corona cases,Steam users
344,2020-12-12,71256941,24776635.0
345,2020-12-13,71945197,24804148.0
346,2020-12-14,72534635,23536055.0
347,2020-12-15,73064954,23586658.0
348,2020-12-16,73689219,23735111.0
349,2020-12-17,74359338,23644503.0
350,2020-12-18,75093188,24243627.0
351,2020-12-19,75814522,24425373.0
352,2020-12-20,76495870,24425638.0
353,2020-12-21,77083238,23662316.0
354,2020-12-22,77627867,23286882.0
355,2020-12-23,78236343,23771212.0
356,2020-12-24,78906667,23348782.0
357,2020-12-25,79576893,22994024.0
358,2020-12-26,80174775,24651866.0
359,2020-12-27,80636105,24597197.0
360,2020-12-28,81096609,24532504.0
361,2020-12-29,81600267,24605097.0
362,2020-12-30,82199481,24476932.0
363,2020-12-31,82934949,24158590.0
364,2021-01-01,83677191,24202280.0
365,2021-01-02,84325471,25415080.0
366,2021-01-03,84883112,25418674.0
367,2021-01-04,85461125,24995921.0
368,2021-01-05,86044982,25267453.0
369,2021-01-06,86706620,25172548.0
370,2021-01-07,87506974,24770695.0
371,2021-01-08,88279249,25221068.0
372,2021-01-09,89084956,25425816.0
373,2021-01-10,89868772,25410913.0
374,2021-01-11,90552014,24540639.0
375,2021-01-12,91155980,24577655.0
376,2021-01-13,91819345,23850535.0
377,2021-01-14,92556250,23636256.0
378,2021-01-15,93281243,24113046.0
379,2021-01-16,93987100,24663629.0
380,2021-01-17,94710934,24818236.0
381,2021-01-18,95317046,23695753.0
382,2021-01-19,95853980,24190509.0
383,2021-01-20,96423366,24258790.0
384,2021-01-21,97055603,24060995.0
385,2021-01-22,97710309,24498044.0
386,2021-01-23,98325964,24909362.0
387,2021-01-24,98945931,25136128.0
388,2021-01-25,99473067,24394904.0
389,2021-01-26,99915526,24340903.0
390,2021-01-27,100429387,24366500.0
391,2021-01-28,101014157,24442877.0
392,2021-01-29,101599588,24787213.0
393,2021-01-30,102148229,25035648.0
394,2021-01-31,102699680,25294003.0
395,2021-02-01,103162500,24577561.0
396,2021-02-02,103548253,24637293.0
397,2021-02-03,103993619,25121914.0
398,2021-02-04,104493338,25248221.0
399,2021-02-05,104967402,25674349.0
400,2021-02-06,105432237,25637585.0
401,2021-02-07,105885055,26401443.0
402,2021-02-08,106272974,25615516.0
403,2021-02-09,106608167,25600879.0
404,2021-02-10,106968568,24976889.0
405,2021-02-11,107385512,24801120.0
406,2021-02-12,107811776,24415244.0
407,2021-02-13,108220309,24996112.0
408,2021-02-14,108613028,24962864.0
409,2021-02-15,108944483,24531924.0
410,2021-02-16,109241959,24746084.0
411,2021-02-17,109581942,25169379.0
412,2021-02-18,109960045,25481140.0
413,2021-02-19,110343821,25760318.0
414,2021-02-20,110714825,25862791.0
415,2021-02-21,111092023,25984665.0
416,2021-02-22,111436891,25987035.0
417,2021-02-23,111746471,25784258.0
418,2021-02-24,112096524,25355166.0
419,2021-02-25,112522044,25467281.0
420,2021-02-26,112942590,25780516.0
421,2021-02-27,113350658,26033633.0
422,2021-02-28,113749955,26133648.0
423,2021-03-01,114107114,25490876.0
424,2021-03-02,114420779,25177698.0
425,2021-03-03,114786534,25095517.0
426,2021-03-04,115209666,25226331.0
427,2021-03-05,115640912,25783270.0
428,2021-03-06,116060344,26142235.0
429,2021-03-07,116486086,26117290.0
430,2021-03-08,116853384,25630407.0
431,2021-03-09,117223660,25267481.0
432,2021-03-10,117596942,25155794.0
433,2021-03-11,118053317,24912223.0
434,2021-03-12,118523140,25510459.0
435,2021-03-13,118981473,26146364.0
436,2021-03-14,119454283,26357866.0
437,2021-03-15,119863355,25275855.0
438,2021-03-16,120241608,25440804.0
439,2021-03-17,120667120,25396388.0
440,2021-03-18,121202623,25384792.0
441,2021-03-19,121739794,25996313.0
442,2021-03-20,122262816,26552568.0
443,2021-03-21,122793765,26850811.0
444,2021-03-22,123275019,25722033.0
445,2021-03-23,123718526,25503778.0
446,2021-03-24,124221334,25215556.0
447,2021-03-25,124818995,25279362.0
448,2021-03-26,125433944,25719995.0
449,2021-03-27,126022909,26300819.0
450,2021-03-28,126623083,26540987.0
451,2021-03-29,127167942,25575113.0
452,2021-03-30,127656698,25294462.0
453,2021-03-31,128193080,25185831.0
454,2021-04-01,128838817,25191839.0
455,2021-04-02,129489723,25813758.0
456,2021-04-03,130124337,26219267.0
457,2021-04-04,130692552,26079290.0
458,2021-04-05,131253840,26922926.0
459,2021-04-06,131754640,26175032.0
460,2021-04-07,132329883,25952385.0
461,2021-04-08,133058048,25824179.0
462,2021-04-09,133810880,26191182.0
463,2021-04-10,134536154,26678669.0
464,2021-04-11,135280692,26587483.0
465,2021-04-12,135962375,25869320.0
466,2021-04-13,136585532,25402367.0
467,2021-04-14,137289368,24882503.0
468,2021-04-15,138097760,24791997.0
469,2021-04-16,138897629,25363443.0
470,2021-04-17,139686382,25481269.0
471,2021-04-18,140507399,25637203.0
472,2021-04-19,141283494,24917536.0
473,2021-04-20,141995444,24805037.0
474,2021-04-21,142759150,24671748.0
475,2021-04-22,143643927,24706166.0
476,2021-04-23,144531045,25406611.0
477,2021-04-24,145360606,25187311.0
478,2021-04-25,146200958,25627701.0
479,2021-04-26,146993777,25096825.0
480,2021-04-27,147701298,24793109.0
481,2021-04-28,148469075,24606464.0
482,2021-04-29,149346944,24537395.0
483,2021-04-30,150213472,24909297.0
484,2021-05-01,151058058,24637935.0
485,2021-05-02,151881336,25006651.0
486,2021-05-03,152638819,25300864.0
487,2021-05-04,153325905,25465755.0
488,2021-05-05,154060820,24933220.0
489,2021-05-06,154903712,24832463.0
490,2021-05-07,155738187,24989875.0
491,2021-05-08,156544346,25276895.0
492,2021-05-09,157348773,24538030.0
493,2021-05-10,158064902,24669950.0
494,2021-05-11,158713732,24338738.0
495,2021-05-12,159359348,24159130.0
496,2021-05-13,160114503,24335218.0
497,2021-05-14,160833511,24710062.0
498,2021-05-15,161511836,24937391.0
499,2021-05-16,162174720,25256576.0
500,2021-05-17,162796914,23964811.0
501,2021-05-18,163355106,24004560.0
502,2021-05-19,163926055,23973181.0
503,2021-05-20,164574131,23677921.0
504,2021-05-21,165205471,24209262.0
505,2021-05-22,165830523,24841711.0
506,2021-05-23,166402416,24913394.0
507,2021-05-24,166930179,24715389.0
508,2021-05-25,167374746,24204964.0
509,2021-05-26,167859910,24137417.0
510,2021-05-27,168429797,23998433.0
511,2021-05-28,168983640,24557836.0
512,2021-05-29,169493142,25253658.0
513,2021-05-30,169951709,25074216.0
514,2021-05-31,170415813,24439111.0
515,2021-06-01,170802199,24152325.0
516,2021-06-02,171202504,24182400.0
517,2021-06-03,171664114,24313637.0
518,2021-06-04,172143343,24597993.0
519,2021-06-05,172585809,24556844.0
520,2021-06-06,172966321,24875325.0
521,2021-06-07,173349091,23915442.0
522,2021-06-08,173673619,23754841.0
523,2021-06-09,174020368,23412135.0
524,2021-06-10,174402187,23500907.0
525,2021-06-11,174828285,23800839.0
526,2021-06-12,175234117,23889043.0
527,2021-06-13,175621130,24443536.0
528,2021-06-14,175986921,24016755.0
529,2021-06-15,176293809,23758439.0
530,2021-06-16,176611464,23711531.0
531,2021-06-17,176997729,23732198.0
532,2021-06-18,177406659,24122368.0
533,2021-06-19,177786659,23942101.0
534,2021-06-20,178165237,24461240.0
535,2021-06-21,178513487,23837200.0
536,2021-06-22,178821098,23980982.0
537,2021-06-23,179146145,23768118.0
538,2021-06-24,179560934,23711658.0
539,2021-06-25,180001729,24800927.0
540,2021-06-26,180400973,24849205.0
541,2021-06-27,180792334,25202227.0
542,2021-06-28,181165015,24514607.0
543,2021-06-29,181491380,24553806.0
544,2021-06-30,181848996,24670516.0
545,2021-07-01,182272230,24418758.0
546,2021-07-02,182681959,24690787.0
547,2021-07-03,183116661,24739340.0
548,2021-07-04,183536082,25085615.0
549,2021-07-05,183927239,24429034.0
550,2021-07-06,184279557,24366112.0
551,2021-07-07,184683312,24089129.0
552,2021-07-08,185171896,23945439.0
553,2021-07-09,185665265,23684711.0
554,2021-07-10,186308915,23554062.0
555,2021-07-11,186784610,23893352.0
556,2021-07-12,187230320,23336096.0
557,2021-07-13,187641404,23370942.0
558,2021-07-14,188132149,22910867.0
559,2021-07-15,188683673,22608413.0
560,2021-07-16,189258765,22917752.0
561,2021-07-17,189831301,22944064.0
562,2021-07-18,190371676,23288027.0
563,2021-07-19,190847382,22895721.0
564,2021-07-20,191291005,22835487.0
565,2021-07-21,191808494,22647518.0
566,2021-07-22,192353710,22614683.0
567,2021-07-23,192927147,22902700.0
568,2021-07-24,193512528,23133446.0
569,2021-07-25,194134340,23668629.0
570,2021-07-26,194632355,23177516.0
571,2021-07-27,195100257,23140035.0
572,2021-07-28,195699870,23150179.0
573,2021-07-29,196358089,23032876.0
574,2021-07-30,197019139,23259965.0
575,2021-07-31,197659532,23432802.0
576,2021-08-01,198274004,23928151.0
577,2021-08-02,198819187,23451603.0
578,2021-08-03,199326227,23406590.0
579,2021-08-04,199949707,23472336.0
580,2021-08-05,200626425,23502692.0
581,2021-08-06,201354584,23902068.0
582,2021-08-07,202041413,23957520.0
583,2021-08-08,202691418,24399247.0
584,2021-08-09,203288843,23906134.0
585,2021-08-10,203816011,23817433.0
586,2021-08-11,204432148,23363070.0
587,2021-08-12,205129663,23309839.0
588,2021-08-13,205839606,23626951.0
589,2021-08-14,206554291,23659988.0
590,2021-08-15,207204813,24177415.0
591,2021-08-16,207795352,23795149.0
592,2021-08-17,208339848,23814628.0
593,2021-08-18,208965973,23814352.0
594,2021-08-19,209701074,23815116.0
595,2021-08-20,210430748,24038827.0
596,2021-08-21,211138917,24119100.0
597,2021-08-22,211795125,24679437.0
598,2021-08-23,212367820,24094777.0
599,2021-08-24,212915596,24079732.0
600,2021-08-25,213560132,23901233.0
601,2021-08-26,214278017,23909195.0
602,2021-08-27,214995045,24366755.0
603,2021-08-28,215710449,24581400.0
604,2021-08-29,216372124,25145170.0
605,2021-08-30,216944092,24508416.0
606,2021-08-31,217460234,24235421.0
607,2021-09-01,218066825,23744601.0
608,2021-09-02,218758769,23421182.0
609,2021-09-03,219453820,23981501.0
610,2021-09-04,220125922,24718911.0
611,2021-09-05,220740591,24801029.0
612,2021-09-06,221270531,23794157.0
613,2021-09-07,221771757,23505431.0
614,2021-09-08,222332379,23701842.0
615,2021-09-09,222900857,23562147.0
616,2021-09-10,223499201,23985302.0
617,2021-09-11,224118567,25092345.0
618,2021-09-12,224681824,25307530.0
619,2021-09-13,225175263,23650528.0
620,2021-09-14,225635019,23490056.0
621,2021-09-15,226152520,22971507.0
622,2021-09-16,226719899,22987898.0
623,2021-09-17,227277630,23677912.0
624,2021-09-18,227854975,24917281.0
625,2021-09-19,228374400,25948693.0
626,2021-09-20,228954230,24235203.0
627,2021-09-21,229378797,23514770.0
628,2021-09-22,229855284,23693169.0
629,2021-09-23,230365147,23524835.0
630,2021-09-24,230899212,24272730.0
631,2021-09-25,231416727,24825213.0
632,2021-09-26,231888401,25134285.0
633,2021-09-27,232289031,23439011.0
634,2021-09-28,232666064,23673837.0
635,2021-09-29,233125985,23938938.0
636,2021-09-30,233607328,24176313.0
637,2021-10-01,234095394,24352413.0
638,2021-10-02,234580767,25286853.0
639,2021-10-03,235015612,26086754.0
640,2021-10-04,235370677,23936808.0
641,2021-10-05,235723564,24156662.0
642,2021-10-06,236158955,24222175.0
643,2021-10-07,236623359,23691859.0
644,2021-10-08,237095742,23790650.0
645,2021-10-09,237551292,25301083.0
646,2021-10-10,237971789,25678576.0
647,2021-10-11,238321828,23708130.0
648,2021-10-12,238666508,23638692.0
649,2021-10-13,239096128,23309756.0
650,2021-10-14,239544640,23170682.0
651,2021-10-15,239988827,23930597.0
652,2021-10-16,240440840,25347730.0
653,2021-10-17,240857073,25599710.0
654,2021-10-18,241199376,23505710.0
655,2021-10-19,241554572,23414255.0
656,2021-10-20,242008746,23550489.0
657,2021-10-21,242480080,23557770.0
658,2021-10-22,242948092,24636300.0
659,2021-10-23,243425772,25859645.0
660,2021-10-24,243850729,26091214.0
661,2021-10-25,244189405,24207341.0
662,2021-10-26,244527586,24279521.0
663,2021-10-27,245005487,24053966.0
664,2021-10-28,245518453,24270359.0
665,2021-10-29,246006622,25372413.0
666,2021-10-30,246509750,26579995.0
667,2021-10-31,246972705,26442819.0
668,2021-11-01,247314115,25354178.0
669,2021-11-02,247655675,24715415.0
670,2021-11-03,248156005,24491823.0
671,2021-11-04,248658941,24452477.0
672,2021-11-05,249175075,25430673.0
673,2021-11-06,249684038,26787393.0
674,2021-11-07,250145145,26796890.0
675,2021-11-08,250508627,23825874.0
676,2021-11-09,250896080,23720182.0
677,2021-11-10,251467461,23421324.0
678,2021-11-11,252020153,24044826.0
679,2021-11-12,252565434,24634583.0
680,2021-11-13,253077394,26099266.0
681,2021-11-14,253596404,26195402.0
682,2021-11-15,254012025,23596184.0
683,2021-11-16,254428139,23656098.0
684,2021-11-17,255056778,23903443.0
685,2021-11-18,255658836,23771985.0
686,2021-11-19,256270450,24797272.0
687,2021-11-20,256887589,26057593.0
688,2021-11-21,257433032,26305927.0
689,2021-11-22,257859821,23806893.0
690,2021-11-23,258312028,23685432.0
691,2021-11-24,259041898,23633675.0
692,2021-11-25,259691913,24160818.0
693,2021-11-26,260354159,25361224.0
694,2021-11-27,260936368,27182165.0
695,2021-11-28,261468559,27384959.0
696,2021-11-29,261915044,24759312.0
697,2021-11-30,262383935,24823931.0
698,2021-12-01,263032013,24982683.0
699,2021-12-02,263719398,24365719.0
700,2021-12-03,264417466,25291302.0
701,2021-12-04,265104223,27027877.0
702,2021-12-05,265730008,27167225.0
703,2021-12-06,266203420,24401539.0
704,2021-12-07,266664370,24340320.0
705,2021-12-08,267401363,24674881.0
706,2021-12-09,268099980,24293395.0
